category,name,url
Google, EMail, https://mail.google.com/mail/u/0/
Google, Drive, https://drive.google.com/drive/u/0/my-drive
Google, Maps, https://www.google.com/maps?hl=en&tab=ml
Google, Calendar, https://calendar.google.com/calendar/u/0/r?tab=mc
Google, News, https://news.google.com/topstories?hl=en-US&gl=US&ceid=US:en
School, Google Mail PSU, https://mail.google.com/mail/u/2/
School, PSU Canvas, https://canvas.pdx.edu/
School, PSU Library, https://library.pdx.edu/
School, MyPSU, https://my.pdx.edu/
School, MyPCC, https://my.pcc.edu/
Textbooks, Eloquent Javascript, https://eloquentjavascript.net/
Textbooks, Operating Systems: Three Easy Steps, https://pages.cs.wisc.edu/~remzi/OSTEP/
Entertainment, Youtube, http://www.youtube.com/
Entertainment, Netflix, http://movies.netflix.com/WiHome
Entertainment, Pandora, https://www.pandora.com/station
Entertainment, Twitch, https://www.twitch.tv/directory/following
Entertainment, Amazon Video, https://www.amazon.com/Amazon-Video/b?ie=UTF8&node=2858778011
Entertainment, Amazon Music, https://music.amazon.com/my/library
Entertainment, Google Audiobooks, https://play.google.com/books/audiobooks
Entertainment, Twitter, https://twitter.com/
Gaming, CKWGaming, http://ckwgaming.com/
Gaming, DayZ Map, https://dayz.ginfo.gg/
Gaming, Probuilds.net, https://www.probuilds.net/
Gaming, LOL Math, http://lolmath.net/itemop.html
Gaming, Summomer Stats, https://na.op.gg/summoner/userName=oakenfjord
Gaming, Porofessor.gg, https://porofessor.gg/live/na/oakenfjord
Gaming, KSP Launch Window Planner, https://alexmoon.github.io/ksp/
Gaming, KSP Transfer Window Angles, https://ksp.olex.biz/
Wikipedias, Offial Wikipedia, http://en.wikipedia.org/wiki/Wiki
Wikipedias, Minecraft Wikia, http://www.minecraftwiki.net/wiki/Minecraft_Wiki
Wikipedias, Bulbapedia, http://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon
Wikipedias, Fallout Wikia, http://fallout.wikia.com/wiki/Fallout_Wiki
Wikipedias, Stardew Valley, https://stardewvalleywiki.com/Stardew_Valley_Wiki
Wikipedias, Terraria Gamepedia, https://terraria.gamepedia.com/Terraria_Wiki
Development, Github, https://github.com/maxoakes
Development, Arma 3 Commands, https://community.bistudio.com/wiki/Category:Scripting_Commands_Arma_3
Development, Arma 3 Functions, https://community.bistudio.com/wiki/Category:Arma_3:_Functions
Development, Arma 3 CfgWeapons, https://community.bistudio.com/wiki/Arma_3_CfgWeapons_Weapons
Development, Arma 3 Cfg Vehicles Config, https://community.bistudio.com/wiki/CfgVehicles_Config_Reference
Development, Minecraft Modpacks, https://www.curseforge.com/minecraft/modpacks
Art Development, AMD MaterialX Library, https://matlib.gpuopen.com/main/materials/all
Art Development, AmbientCG, https://ambientcg.com/
Art Development, Textures.one, http://textures.one/
Art Development, CG Bookcase, https://www.cgbookcase.com/
Art Development, FreePBR, https://freepbr.com/
Art Development, SketchFab Public Collection, https://sketchfab.com/nebulousflynn/collections/cc0
Art Development, Poliigon, https://www.poliigon.com/
Art Development, Polyhaven, https://polyhaven.com/
Art Development, Physically Based, https://physicallybased.info/
Art Development, Color Palettes, https://coolors.co/palettes/trending
Games, Geoguessr, https://geoguessr.com/
Games, MS-DOS Game Library, https://archive.org/details/softwarelibrary_msdos_games
Games, Pokemon Showdown, http://play.pokemonshowdown.com/
Games, Akinator, https://en.akinator.com/
Tools, Ventusky, https://www.ventusky.com/
Tools, USGS Earthquakes, https://earthquake.usgs.gov/earthquakes/map/?extent=21.61658,-130.16602&extent=52.02546,-59.85352
Tools, Flightradar24, https://www.flightradar24.com/45.49,-122.76/12
Tools, Whiteboard, https://whiteboard.office.com/me/whiteboards/
Jobs, Indeed, https://www.indeed.com/?from=gnav-jobsearch--jasx
Jobs, LinkedIn, https://www.linkedin.com/in/max-o-017/
Jobs, Portland Tech, http://portlandtech.org/
Jobs, PSU Resources, https://drive.google.com/drive/folders/0B7lfsgkmznXqMngtd296NGJtd0E?resourcekey=0-ZAz63gRkSCOIKX_VkHsgug
Recipes, One Pot Garlic Parmesan Pasta, https://damndelicious.net/2014/10/11/one-pot-garlic-parmesan-pasta/
Recipes, One Pan Bacon Ranch Garlic Parmesan Pasta, https://thesaltymarshmallow.com/one-pan-bacon-ranch-garlic-parmesan-pasta/
Recipes, Bang Bang Shrimp Pasta, https://spicysouthernkitchen.com/bang-bang-shrimp-pasta/
Recipes, Tofu with Peanut-Ginger Sauce, http://www.eatingwell.com/recipe/252098/tofu-with-peanut-ginger-sauce/
Recipes, Thai Basil Chicken, https://www.dumplingconnection.com/recipes/thai-basil-chicken-recipe/
Misc, PC Part Picker, https://pcpartpicker.com/
Misc, Pokemon Game Development Notes, https://web.archive.org/web/20140712043417/http://www.upokecenter.com/content/pokemon-diamond-version-pearl-version-and-platinum-version-timing-notes
Misc, Router, http://192.168.0.1/